0.18, 0.0, 0.15, 0.02, 0.07, 0.07, 0.1, 0.03, 0.18, 0.12, 0.02, 0.08, 0.17, 0.2, 0.21, 0.26, 0.2, 0.16, 0.09, 0.1, 0.11, 0.13, 0.16, 0.12, 0.05, 0.05, 0.14, 0.07, 0.12, 0.13, 0.1, 0.11, 0.04, 0.08, 0.15, 0.09, 0.06, 0.09, 0.04, 0.05, 0.19, 0.18, 0.4, 0.21, 0.26, 0.15, 0.19, 0.21, 0.23, 0.19, 0.22, 0.22, 0.12, 0.15, 0.16, 0.16, 0.14, 0.06, 0.05, 0.02, 0.02, 0.16, 0.12, 0.08
0.02, 0.0, 0.02, 0.01, 0.02, 0.01, 0.01, 0.01, 0.01, 0.02, 0.01, 0.02, 0.02, 0.05, 0.04, 0.04, 0.05, 0.05, 0.02, 0.02, 0.02, 0.02, 0.01, 0.02, 0.01, 0.01, 0.02, 0.01, 0.02, 0.02, 0.02, 0.02, 0.01, 0.02, 0.02, 0.02, 0.01, 0.02, 0.01, 0.02, 0.02, 0.02, 0.1, 0.02, 0.02, 0.03, 0.03, 0.03, 0.02, 0.04, 0.02, 0.02, 0.02, 0.05, 0.03, 0.01, 0.02, 0.01, 0.01, 0.01, 0.01, 0.05, 0.03, 0.05
0.2, 0.01, 0.4, 0.03, 0.16, 0.09, 0.07, 0.01, 0.12, 0.13, 0.05, 0.18, 0.19, 0.17, 0.33, 0.7, 0.17, 0.37, 0.13, 0.19, 0.08, 0.11, 0.17, 0.25, 0.1, 0.04, 0.1, 0.14, 0.16, 0.08, 0.11, 0.31, 0.08, 0.1, 0.08, 0.13, 0.04, 0.06, 0.04, 0.09, 0.18, 0.4, 0.5, 0.26, 0.23, 0.2, 0.41, 0.17, 0.33, 0.27, 0.26, 0.2, 0.42, 0.27, 0.34, 0.13, 0.22, 0.06, 0.03, 0.02, 0.02, 0.24, 0.18, 0.09
0.02, 0.01, 0.02, 0.01, 0.03, 0.02, 0.02, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02, 0.05, 0.06, 0.04, 0.04, 0.1, 0.04, 0.03, 0.02, 0.03, 0.03, 0.05, 0.04, 0.02, 0.03, 0.02, 0.03, 0.03, 0.02, 0.02, 0.02, 0.01, 0.02, 0.02, 0.01, 0.02, 0.01, 0.02, 0.03, 0.03, 0.1, 0.06, 0.04, 0.02, 0.03, 0.03, 0.04, 0.09, 0.05, 0.04, 0.04, 0.06, 0.03, 0.02, 0.05, 0.02, 0.01, 0.01, 0.0, 0.07, 0.03, 0.08
0.09, 0.02, 0.17, 0.03, 0.05, 0.02, 0.02, 0.01, 0.02, 0.06, 0.04, 0.08, 0.06, 0.06, 0.1, 0.35, 0.04, 0.09, 0.06, 0.08, 0.03, 0.04, 0.06, 0.12, 0.05, 0.02, 0.02, 0.06, 0.03, 0.01, 0.05, 0.18, 0.05, 0.05, 0.02, 0.05, 0.02, 0.02, 0.02, 0.06, 0.1, 0.23, 0.12, 0.1, 0.07, 0.12, 0.29, 0.06, 0.13, 0.15, 0.09, 0.13, 0.22, 0.18, 0.17, 0.02, 0.04, 0.01, 0.01, 0.01, 0.01, 0.13, 0.05, 0.03
0.09, 0.01, 0.14, 0.02, 0.07, 0.08, 0.05, 0.01, 0.05, 0.05, 0.03, 0.04, 0.07, 0.12, 0.13, 0.2, 0.08, 0.19, 0.04, 0.03, 0.03, 0.03, 0.04, 0.05, 0.03, 0.02, 0.05, 0.06, 0.09, 0.08, 0.04, 0.1, 0.04, 0.04, 0.03, 0.03, 0.01, 0.03, 0.02, 0.05, 0.09, 0.11, 0.33, 0.12, 0.15, 0.06, 0.1, 0.11, 0.19, 0.08, 0.06, 0.06, 0.04, 0.1, 0.1, 0.09, 0.14, 0.03, 0.04, 0.01, 0.01, 0.08, 0.06, 0.07
0.07, 0.01, 0.11, 0.01, 0.05, 0.02, 0.03, 0.02, 0.04, 0.05, 0.02, 0.06, 0.05, 0.1, 0.11, 0.1, 0.06, 0.08, 0.04, 0.08, 0.04, 0.06, 0.06, 0.07, 0.03, 0.02, 0.07, 0.05, 0.04, 0.05, 0.04, 0.06, 0.02, 0.03, 0.06, 0.05, 0.02, 0.03, 0.01, 0.03, 0.1, 0.09, 0.09, 0.08, 0.07, 0.08, 0.09, 0.09, 0.1, 0.09, 0.11, 0.14, 0.09, 0.08, 0.05, 0.06, 0.07, 0.02, 0.02, 0.0, 0.0, 0.07, 0.06, 0.04
0.02, 0.01, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.01, 0.01, 0.02, 0.03, 0.03, 0.05, 0.03, 0.05, 0.02, 0.02, 0.02, 0.02, 0.02, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.01, 0.02, 0.02, 0.01, 0.01, 0.02, 0.01, 0.02, 0.02, 0.02, 0.07, 0.03, 0.03, 0.02, 0.03, 0.03, 0.02, 0.05, 0.03, 0.04, 0.03, 0.04, 0.03, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.02, 0.01, 0.04
0.09, 0.01, 0.09, 0.01, 0.05, 0.07, 0.04, 0.01, 0.07, 0.06, 0.03, 0.05, 0.1, 0.09, 0.11, 0.26, 0.1, 0.14, 0.05, 0.03, 0.06, 0.07, 0.07, 0.07, 0.03, 0.04, 0.07, 0.04, 0.06, 0.08, 0.04, 0.06, 0.02, 0.04, 0.05, 0.04, 0.02, 0.06, 0.02, 0.04, 0.1, 0.08, 0.29, 0.08, 0.16, 0.07, 0.09, 0.09, 0.1, 0.11, 0.09, 0.12, 0.06, 0.06, 0.1, 0.07, 0.07, 0.02, 0.03, 0.01, 0.01, 0.05, 0.05, 0.05
0.11, 0.01, 0.12, 0.02, 0.06, 0.03, 0.06, 0.02, 0.07, 0.1, 0.04, 0.06, 0.09, 0.13, 0.11, 0.13, 0.07, 0.07, 0.07, 0.09, 0.06, 0.11, 0.09, 0.09, 0.04, 0.03, 0.12, 0.06, 0.1, 0.09, 0.05, 0.08, 0.02, 0.03, 0.1, 0.08, 0.03, 0.05, 0.01, 0.02, 0.13, 0.1, 0.12, 0.12, 0.17, 0.09, 0.11, 0.14, 0.16, 0.12, 0.14, 0.17, 0.1, 0.08, 0.09, 0.1, 0.11, 0.04, 0.03, 0.0, 0.01, 0.1, 0.11, 0.06
