0.25, 0.05, 0.25, 0.05, 0.07, 0.04, 0.09, 0.18, 0.14, 0.21, 0.11, 0.16, 0.1, 0.33, 0.21, 0.41, 0.34, 0.13, 0.16, 0.17, 0.07, 0.23, 0.24, 0.08, 0.15, 0.09, 0.25, 0.07, 0.29, 0.06, 0.15, 0.14, 0.17, 0.06, 0.17, 0.08, 0.16, 0.04, 0.08, 0.05, 0.35, 0.18, 0.47, 0.34, 0.21, 0.15, 0.13, 0.4, 0.2, 0.38, 0.19, 0.43, 0.23, 0.21, 0.13, 0.28, 0.1, 0.09, 0.04, 0.06, 0.02, 0.25, 0.15, 0.12
0.04, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.03, 0.02, 0.03, 0.03, 0.02, 0.01, 0.08, 0.03, 0.08, 0.05, 0.02, 0.04, 0.02, 0.01, 0.05, 0.03, 0.01, 0.04, 0.02, 0.04, 0.01, 0.03, 0.01, 0.04, 0.02, 0.04, 0.01, 0.03, 0.01, 0.03, 0.01, 0.02, 0.01, 0.05, 0.02, 0.1, 0.05, 0.03, 0.1, 0.04, 0.04, 0.02, 0.1, 0.05, 0.09, 0.03, 0.11, 0.04, 0.01, 0.01, 0.01, 0.01, 0.03, 0.01, 0.09, 0.08, 0.06
0.17, 0.03, 0.18, 0.04, 0.04, 0.02, 0.07, 0.06, 0.11, 0.14, 0.07, 0.07, 0.05, 0.26, 0.1, 0.51, 0.34, 0.11, 0.07, 0.05, 0.02, 0.12, 0.18, 0.04, 0.09, 0.04, 0.1, 0.01, 0.12, 0.01, 0.14, 0.06, 0.14, 0.04, 0.07, 0.02, 0.07, 0.01, 0.08, 0.05, 0.25, 0.15, 0.43, 0.26, 0.11, 0.39, 0.2, 0.2, 0.14, 0.2, 0.09, 0.15, 0.08, 0.25, 0.25, 0.18, 0.06, 0.04, 0.01, 0.03, 0.01, 0.16, 0.05, 0.03
0.03, 0.01, 0.03, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.05, 0.03, 0.03, 0.02, 0.09, 0.02, 0.04, 0.08, 0.03, 0.05, 0.04, 0.01, 0.07, 0.06, 0.02, 0.05, 0.02, 0.04, 0.01, 0.05, 0.01, 0.03, 0.02, 0.03, 0.01, 0.05, 0.02, 0.03, 0.01, 0.02, 0.01, 0.05, 0.03, 0.11, 0.07, 0.03, 0.07, 0.04, 0.06, 0.03, 0.09, 0.04, 0.09, 0.04, 0.08, 0.02, 0.03, 0.02, 0.01, 0.01, 0.03, 0.01, 0.13, 0.03, 0.07
0.05, 0.01, 0.06, 0.02, 0.02, 0.01, 0.03, 0.03, 0.09, 0.02, 0.01, 0.01, 0.01, 0.23, 0.09, 0.25, 0.17, 0.09, 0.01, 0.01, 0.0, 0.01, 0.03, 0.01, 0.02, 0.0, 0.03, 0.01, 0.03, 0.0, 0.02, 0.01, 0.01, 0.0, 0.03, 0.01, 0.02, 0.0, 0.03, 0.02, 0.2, 0.1, 0.23, 0.08, 0.03, 0.15, 0.09, 0.1, 0.06, 0.02, 0.01, 0.02, 0.01, 0.1, 0.1, 0.05, 0.02, 0.01, 0.0, 0.03, 0.01, 0.04, 0.02, 0.01
0.1, 0.02, 0.01, 0.01, 0.01, 0.01, 0.02, 0.01, 0.01, 0.05, 0.02, 0.03, 0.02, 0.04, 0.01, 0.11, 0.03, 0.01, 0.02, 0.01, 0.01, 0.05, 0.03, 0.01, 0.03, 0.01, 0.04, 0.01, 0.03, 0.0, 0.05, 0.04, 0.05, 0.01, 0.03, 0.01, 0.02, 0.0, 0.02, 0.01, 0.04, 0.01, 0.05, 0.06, 0.02, 0.04, 0.02, 0.05, 0.02, 0.07, 0.03, 0.09, 0.04, 0.05, 0.02, 0.03, 0.01, 0.01, 0.0, 0.03, 0.01, 0.03, 0.01, 0.01
0.05, 0.01, 0.06, 0.02, 0.03, 0.01, 0.05, 0.04, 0.06, 0.07, 0.05, 0.05, 0.02, 0.12, 0.07, 0.11, 0.2, 0.1, 0.05, 0.05, 0.02, 0.1, 0.14, 0.03, 0.08, 0.03, 0.11, 0.02, 0.12, 0.02, 0.03, 0.01, 0.02, 0.01, 0.07, 0.02, 0.06, 0.01, 0.02, 0.02, 0.21, 0.13, 0.27, 0.17, 0.05, 0.08, 0.05, 0.19, 0.13, 0.17, 0.06, 0.12, 0.06, 0.08, 0.04, 0.17, 0.05, 0.03, 0.01, 0.03, 0.01, 0.09, 0.04, 0.06
0.08, 0.03, 0.05, 0.03, 0.02, 0.02, 0.04, 0.05, 0.04, 0.06, 0.05, 0.03, 0.03, 0.15, 0.03, 0.11, 0.12, 0.03, 0.07, 0.04, 0.02, 0.08, 0.06, 0.02, 0.08, 0.03, 0.06, 0.02, 0.1, 0.02, 0.06, 0.04, 0.07, 0.02, 0.06, 0.02, 0.07, 0.02, 0.03, 0.02, 0.08, 0.03, 0.17, 0.13, 0.07, 0.15, 0.06, 0.11, 0.05, 0.17, 0.07, 0.14, 0.07, 0.17, 0.05, 0.04, 0.02, 0.03, 0.01, 0.05, 0.02, 0.15, 0.03, 0.09
0.33, 0.04, 0.04, 0.03, 0.03, 0.03, 0.06, 0.03, 0.04, 0.14, 0.07, 0.07, 0.06, 0.11, 0.04, 0.38, 0.11, 0.04, 0.09, 0.04, 0.03, 0.12, 0.06, 0.03, 0.09, 0.04, 0.08, 0.02, 0.15, 0.02, 0.14, 0.11, 0.16, 0.04, 0.08, 0.02, 0.07, 0.02, 0.04, 0.03, 0.1, 0.04, 0.16, 0.18, 0.11, 0.15, 0.1, 0.12, 0.08, 0.19, 0.08, 0.23, 0.09, 0.21, 0.08, 0.08, 0.03, 0.03, 0.01, 0.06, 0.01, 0.13, 0.04, 0.02
0.18, 0.03, 0.18, 0.04, 0.05, 0.04, 0.1, 0.1, 0.11, 0.16, 0.1, 0.1, 0.08, 0.21, 0.09, 0.34, 0.35, 0.12, 0.1, 0.1, 0.04, 0.14, 0.22, 0.05, 0.13, 0.07, 0.19, 0.06, 0.2, 0.04, 0.07, 0.05, 0.07, 0.02, 0.14, 0.05, 0.11, 0.03, 0.05, 0.04, 0.33, 0.18, 0.49, 0.31, 0.17, 0.15, 0.08, 0.31, 0.22, 0.28, 0.13, 0.22, 0.12, 0.18, 0.12, 0.24, 0.09, 0.06, 0.02, 0.05, 0.02, 0.15, 0.11, 0.14
0.06, 0.02, 0.04, 0.01, 0.01, 0.01, 0.03, 0.04, 0.05, 0.07, 0.04, 0.04, 0.04, 0.15, 0.05, 0.1, 0.09, 0.02, 0.1, 0.06, 0.04, 0.12, 0.08, 0.02, 0.08, 0.04, 0.06, 0.01, 0.11, 0.02, 0.09, 0.07, 0.1, 0.04, 0.08, 0.02, 0.07, 0.02, 0.03, 0.02, 0.06, 0.02, 0.15, 0.12, 0.05, 0.14, 0.09, 0.06, 0.04, 0.22, 0.08, 0.2, 0.08, 0.16, 0.03, 0.06, 0.02, 0.02, 0.01, 0.04, 0.02, 0.16, 0.06, 0.06
0.15, 0.01, 0.12, 0.03, 0.03, 0.01, 0.05, 0.04, 0.14, 0.06, 0.03, 0.02, 0.03, 0.34, 0.09, 0.39, 0.24, 0.13, 0.04, 0.01, 0.01, 0.05, 0.07, 0.03, 0.06, 0.01, 0.05, 0.01, 0.04, 0.01, 0.06, 0.02, 0.04, 0.01, 0.04, 0.01, 0.03, 0.0, 0.07, 0.06, 0.26, 0.09, 0.29, 0.13, 0.05, 0.29, 0.13, 0.14, 0.08, 0.07, 0.03, 0.09, 0.02, 0.18, 0.16, 0.09, 0.04, 0.02, 0.0, 0.04, 0.01, 0.11, 0.03, 0.05
