-0.004, -0.096, 0.138, -0.317, -0.856, -0.416, -0.492, 0.145, -0.328, 0.006, -0.039, 0.222, -0.141, -0.364, 0.106, 0.02, 0.137, -0.322, -0.036, 0.407, 0.053, 0.151, 0.009, -0.148, -0.04, 0.012, -0.073, -0.17, -0.09, -0.054, 0.074, 0.254, -0.025, -0.111, 0.128, 0.144, 0.147, 0.141, -0.158, -0.191, 0.072, -0.032, 0.096, 0.118, -0.088, -0.058, -0.054, 0.034, -0.017, 0.075, -0.096, 0.011, -0.287, 0.073, -0.124, -0.105, 0.016, 0.243, -0.198, 0.159, -0.346, -0.159, -0.103, -0.115
-0.637, -0.223, -0.657, 0.495, 0.705, 0.551, 0.487, 0.238, 0.368, -0.35, -0.444, -0.434, -0.532, 0.433, 0.363, -0.301, 0.104, 0.229, -0.304, -0.332, -0.166, -0.144, -0.04, -0.189, 0.046, 0.445, 0.57, 0.471, 0.255, 0.552, 0.089, 0.013, -0.229, -0.123, 0.266, 0.108, -0.027, 0.21, -0.031, 0.04, 0.105, 0.185, 0.14, -0.086, 0.337, -0.039, -0.27, 0.073, 0.147, -0.104, 0.173, 0.105, -0.048, -0.122, -0.015, 0.03, -0.103, 0.026, 0.394, 0.248, 0.356, 0.29, 0.969, 0.829
0.477, 0.142, 0.557, -0.407, -0.428, -0.87, -0.426, -0.444, -0.56, 0.611, 0.158, 0.391, -0.018, 0.065, -0.127, 0.236, -0.435, -0.889, -0.087, 0.1, -0.337, 0.194, 0.217, -0.104, -0.101, -0.149, -0.273, -0.108, -0.676, -0.68, 0.428, 0.207, -0.078, -0.193, -0.416, -0.451, -0.514, -0.482, 0.027, 0.02, -0.377, -0.688, -0.805, -0.372, -0.536, 0.318, 0.086, -0.168, -0.543, -0.089, -0.276, 0.061, 0.045, 0.021, -0.173, -0.417, -0.907, -0.459, -0.254, -0.302, -0.104, -0.56, -0.304, -1.794
-0.268, -0.031, -0.071, 0.393, 0.695, 0.285, 0.4, 0.039, -0.045, 0.041, -0.046, -0.122, -0.078, 0.392, 0.241, -0.192, 0.143, 0.762, -0.048, 0.009, 0.098, 0.045, 0.223, 0.133, 0.337, 0.464, 0.093, 0.307, -0.258, -0.141, -0.036, 0.02, -0.132, -0.171, 0.124, 0.498, 0.075, -0.063, 0.196, -0.048, 0.098, 0.27, 0.061, -0.018, -0.325, -0.004, -0.206, -0.086, 0.302, -0.181, -0.093, -0.106, 0.016, -0.358, -0.127, -0.51, -0.214, -0.099, -1.215, 0.123, 0.321, 0.493, 0.216, 0.335
0.753, 0.744, 0.862, -0.66, 0.281, -0.384, -0.562, -0.96, -0.559, 0.72, 0.605, 0.385, 0.123, -0.027, -0.285, 0.008, -0.687, 0.468, -0.074, -0.659, -0.143, 0.028, 0.018, -0.052, -0.008, -0.387, -0.287, 0.706, -0.987, -1.37, 0.339, -0.515, -0.223, -0.306, -0.3, -0.128, -0.874, -0.667, -0.083, 0.047, -0.024, -0.169, -0.608, -0.334, -0.907, 0.265, 0.118, -0.446, -1.814, -0.219, 0.235, -0.074, -0.134, -0.2, 0.248, -1.278, -0.537, -0.479, 0.196, -0.663, -0.907, -1.463, -7.073, -6.771
0.397, 0.264, -0.711, 0.365, 0.916, 0.561, 0.818, -0.081, 0.231, -0.653, -0.428, -0.523, -0.379, 0.487, -0.094, 0.142, -0.053, -1.072, -0.271, -1.101, -0.633, -0.714, -0.984, -0.968, -0.396, 0.047, 0.187, -0.834, -0.161, 0.181, 0.272, -0.158, 0.081, 0.27, 0.067, 0.565, -0.033, -0.261, 0.136, -0.02, 0.4, 0.323, 0.154, 0.149, 0.325, 0.11, -0.036, 0.183, 0.112, -0.637, -0.191, -0.341, -0.723, 0.081, -0.107, 0.035, -0.181, 0.322, 0.042, -0.286, 0.548, 0.174, 0.374, -6.925
-0.094, -0.134, 0.234, -0.479, -1.168, -0.281, -0.7, -0.314, -0.54, 0.544, 0.482, 0.515, 0.341, -0.481, 0.062, -0.652, 0.132, 0.586, 0.191, 0.255, 0.064, 0.315, 0.277, 0.437, 0.251, 0.264, -0.721, -0.702, -0.773, -0.861, -0.233, -0.249, -0.39, -1.102, 0.128, 0.032, -0.097, 0.029, -0.584, -0.154, 0.216, 0.158, 0.046, -0.0, -0.111, -0.191, -0.196, -0.046, 0.051, 0.418, 0.134, 0.317, -0.591, 0.161, -0.207, -0.75, -0.272, -0.255, -0.337, -0.033, -0.054, 0.272, -0.005, -0.109
-0.11, -0.019, 0.134, 0.147, 0.356, 0.02, 0.267, -0.116, -0.024, -0.055, 0.043, -0.131, -0.138, -0.093, 0.066, 0.037, -0.034, -0.034, 0.028, -0.195, 0.011, 0.115, 0.098, -0.13, 0.083, -0.068, 0.076, -0.094, 0.023, -0.069, 0.206, 0.027, 0.059, 0.149, 0.081, 0.095, -0.077, 0.032, 0.023, -0.002, -0.11, -0.067, 0.021, -0.003, -0.033, 0.002, -0.013, -0.13, -0.019, 0.02, 0.149, 0.096, 0.003, -0.12, -0.167, -0.054, -0.134, -0.232, -0.274, 0.305, 0.194, -0.052, -0.112, -0.334
0.183, 0.249, -1.075, 0.738, 0.515, 0.673, 0.433, -0.0, 0.173, -0.486, -0.484, -0.655, -0.361, 0.11, -0.098, 0.269, -0.317, -0.08, -0.271, -0.738, -0.209, -0.395, -1.159, -0.66, -0.546, -0.465, 0.139, 0.628, 0.429, 0.544, -0.017, -0.392, -0.412, 0.012, 0.044, 0.27, -0.216, 0.394, 0.208, 0.013, 0.045, -0.031, -0.127, 0.046, 0.299, 0.157, -0.048, 0.412, 0.208, -0.427, -0.336, -0.385, -0.603, 0.462, 0.395, 0.002, -0.287, 0.275, 0.118, 0.175, 0.481, -0.338, 0.855, -0.635
-0.028, -0.077, 0.099, -0.547, -0.658, -0.525, -0.519, -0.356, -0.689, 0.267, 0.241, 0.381, 0.021, -0.606, -0.483, -0.185, 0.043, -0.597, 0.194, 0.221, -0.028, 0.278, 0.185, 0.13, 0.199, 0.083, -0.392, -0.326, -0.479, -0.399, -0.058, 0.109, -0.289, -0.341, 0.138, -0.179, -0.001, -0.089, -0.438, -0.422, 0.116, -0.118, 0.069, 0.143, -0.02, -0.154, 0.02, -0.166, 0.094, 0.334, 0.108, 0.122, -0.045, 0.249, -0.087, -0.096, -0.341, -0.068, -0.524, 0.168, 0.047, -0.205, -0.173, 0.129
